timestamp_ms,face_present,face_confidence,time_since_face_seen_ms,roll_proxy_deg,yaw_proxy,pitch_proxy,ear_left,ear_right,ear_mean,blink,blink_duration_ms
287532864,1,0.9652438163757324,0.0,-3.3384455465842704,-0.051576873913582,0.44595942875790817,0.09608157714658404,0.06858348984776501,0.08233253349717452,0,nan
287532897,1,0.9631669521331787,0.0,-3.2079279961111165,-0.05089416541488055,0.45552304908034036,0.09734973491825714,0.08308346667947963,0.0902166007988684,0,nan
287532930,1,0.9559264183044434,0.0,-2.9006280449011617,-0.0530595969782788,0.45234288286144403,0.06821289460193872,0.052396575053040254,0.060304734827489485,0,nan
287532964,1,0.9431310296058655,0.0,-2.850867366577871,-0.05866487698709913,0.4500137354419582,0.02368044942963552,0.02147363948113763,0.022577044455386573,0,nan
287532997,1,0.9328574538230896,0.0,-2.703955218120318,-0.06711981978475035,0.4518249063581321,0.02021328222202337,0.02095555814759323,0.0205844201848083,0,nan
287533030,1,0.9236484169960022,0.0,-3.0086479297082933,-0.07292436398194975,0.45950326991025614,0.02400232443097198,0.020469758680156883,0.022236041555564433,0,nan
287533064,1,0.9366266131401062,0.0,-2.8348320052606795,-0.07755067917545935,0.46358322291748116,0.020783943484319996,0.011997172534691061,0.016390558009505528,0,nan
287533097,1,0.9412130117416382,0.0,-3.1182483698751,-0.07500728036299313,0.46746680187370554,0.010245623228983992,0.011644504772106094,0.010945064000545044,0,nan
287533130,1,0.9343488216400146,0.0,-2.713909411420851,-0.07321721078179531,0.47335848962208305,0.012256653756417402,0.012913626884826872,0.012585140320622138,0,nan
287533164,1,0.9361511468887329,0.0,-3.0161730267113893,-0.07088627949200346,0.4788571998938978,0.012857716069456666,0.012821666997590247,0.012839691533523457,0,nan
287533197,1,0.9467222094535828,0.0,-2.686760652034903,-0.07143242701650379,0.4791544382493183,0.013785508963402592,0.0135658292567752,0.013675669110088896,0,nan
287533230,1,0.9366828799247742,0.0,-2.510992952737015,-0.07021733941861347,0.48113831495113357,0.013696761639241821,0.014805087862493998,0.01425092475086791,0,nan
287533264,1,0.9365676641464233,0.0,-2.664224033407098,-0.07004628234511856,0.48285394785211583,0.014620158920274483,0.014579769957821802,0.014599964439048142,0,nan
287533297,1,0.937009334564209,0.0,-2.742212021796733,-0.07119422017318912,0.4839192665906606,0.013716360230589131,0.017100668126851803,0.015408514178720467,0,nan
